Table,Parameter,Abbreviation,Units,Foliage Nature,Species,Value,Source
A.2.1,New fine root C to new leaf C allocation,FRC:LC,kg C per kg C,Evergreen needle leaf forest,Pinus sylvestris,1.17,Mälkönen 1974
A.2.1,New fine root C to new leaf C allocation,FRC:LC,kg C per kg C,Evergreen needle leaf forest,Pinus sylvestris,1.37,Paavilainen 1980
A.2.1,New fine root C to new leaf C allocation,FRC:LC,kg C per kg C,Evergreen needle leaf forest,Pinus sylvestris,2.99,Linder and Axelsson 1982
A.2.1,New fine root C to new leaf C allocation,FRC:LC,kg C per kg C,Evergreen needle leaf forest,Pinus sylvestris,0.523,Linder and Axelsson 1982
A.2.1,New fine root C to new leaf C allocation,FRC:LC,kg C per kg C,Evergreen needle leaf forest,Pinus taeda,1.76,Kinerson et al. 1977
A.2.1,New fine root C to new leaf C allocation,FRC:LC,kg C per kg C,Evergreen needle leaf forest,Pseudotsuga menziesii,3.66,Keyes and Grier 1981
A.2.1,New fine root C to new leaf C allocation,FRC:LC,kg C per kg C,Evergreen needle leaf forest,Pseudotsuga menziesii,0.819,Keyes and Grier 1981
A.2.1,New fine root C to new leaf C allocation,FRC:LC,kg C per kg C,Evergreen needle leaf forest,Pseudotsuga menziesii,1.41,Vogt et al. 1990
A.2.1,New fine root C to new leaf C allocation,FRC:LC,kg C per kg C,Evergreen needle leaf forest,Pseudotsuga menziesii,0.883,Vogt et al. 1990
A.2.1,New fine root C to new leaf C allocation,FRC:LC,kg C per kg C,Evergreen needle leaf forest,Pseudotsuga menziesii,2.41,Gower et al. 1992
A.2.1,New fine root C to new leaf C allocation,FRC:LC,kg C per kg C,Evergreen needle leaf forest,Pseudotsuga menziesii,1,Gower et al. 1992
A.2.1,New fine root C to new leaf C allocation,FRC:LC,kg C per kg C,Evergreen needle leaf forest,Pseudotsuga menziesii,1.43,Gower et al. 1992
A.2.1,New fine root C to new leaf C allocation,FRC:LC,kg C per kg C,Evergreen needle leaf forest,Pseudotsuga menziesii,6.85,Fogel 1983
A.2.1,New fine root C to new leaf C allocation,FRC:LC,kg C per kg C,Deciduous broad leaf forest,Quercus velutina,1.59,Nadelhoffer et al. 1985
A.2.1,New fine root C to new leaf C allocation,FRC:LC,kg C per kg C,Deciduous broad leaf forest,Quercus rubra,1.39,Nadelhoffer et al. 1985
A.2.1,New fine root C to new leaf C allocation,FRC:LC,kg C per kg C,Deciduous broad leaf forest,Quercus alba,1.27,Nadelhoffer et al. 1985
